Date,Time,CE_strikes,PE_strikes
2025-01-04,10:50,"21500,22000,22500,22900,23000,23100,23200,23250,23300,23400,23450,23500,23550,23600,23650,23700,23800,23900,24000,24050,24100,24200,24250,24300,24350,24400,24450,24500,24600,24700,24750,24800,24900","21400,21500,21700,21800,21900,22000,22100,22200,22300,22400,22500,22600,22700,22800,22900,23000,23100,23200,23250,23300,23400,23450,23500,23600,23700,23750,23800,23850,23900,24000,24100,24200,24250,24500"
2025-01-04,10:55,"22200,22500,22800,22900,23000,23100,23200,23250,23300,23400,23500,23550,23600,23700,23800,23900,24000,24050,24100,24150,24200,24300,24400,24500,24600,24700,24800,24900","21400,21500,21700,21800,21900,22000,22100,22200,22250,22300,22350,22400,22500,22600,22700,22800,22900,23000,23100,23200,23250,23300,23400,23500,23550,23600,23650,23700,23750,23800,23900,24000,24100,24200,24500"
2025-01-04,11:00,"22000,22300,22500,22800,22900,23000,23100,23200,23250,23300,23400,23500,23600,23650,23700,23750,23800,23900,24000,24100,24150,24200,24250,24300,24400,24500,24600,24700,24750,24800,24900","21400,21500,21800,21900,22000,22100,22200,22300,22350,22400,22500,22550,22600,22700,22800,22900,23000,23100,23200,23250,23300,23400,23500,23600,23700,23800,23850,23900,24000,24100,24200,24500"
2025-01-04,11:05,"22000,22500,22800,22900,23000,23100,23200,23250,23300,23400,23500,23600,23650,23700,23800,23850,23900,23950,24000,24050,24100,24150,24200,24300,24350,24400,24500,24550,24600,24700,24750,24800,24900","21400,21500,21800,21900,22000,22100,22200,22250,22300,22400,22500,22550,22600,22700,22800,22900,22950,23000,23100,23150,23200,23250,23300,23400,23500,23600,23650,23700,23800,23850,23900,23950,24000,24100,24200,24500"
2025-01-04,11:10,"21500,22000,22500,22700,22800,22900,23000,23100,23200,23300,23400,23450,23500,23550,23600,23700,23800,23900,24000,24150,24200,24250,24300,24400,24450,24500,24600,24700,24750,24800,24850,24900","21400,21500,21700,21800,21900,22000,22100,22200,22300,22400,22500,22600,22700,22800,22900,22950,23000,23100,23150,23200,23250,23300,23400,23450,23500,23550,23600,23700,23800,23850,23900,24000,24100,24200,24500"
2025-01-04,11:15,"22000,22500,22800,22900,23000,23100,23200,23400,23500,23550,23600,23700,23800,23850,23900,23950,24000,24100,24200,24250,24300,24400,24450,24500,24550,24600,24700,24800,24900","21400,21500,21700,21800,21900,22000,22100,22200,22250,22300,22400,22450,22500,22550,22600,22650,22700,22800,22900,22950,23000,23100,23200,23250,23300,23400,23500,23600,23700,23900,24000,24300,24500"
2025-01-04,11:20,"22500,22800,22900,23000,23100,23250,23300,23400,23500,23600,23700,23800,23850,23900,23950,24000,24050,24100,24150,24200,24250,24300,24350,24400,24450,24500,24550,24600,24700,24750,24800,24900","21500,21700,21800,21900,22000,22100,22200,22250,22300,22350,22400,22500,22550,22600,22650,22700,22800,22900,23000,23050,23100,23200,23300,23400,23500,23600,23650,23700,23750,23800,23850,23900,24000,24100,24200,24300,24500"
2025-01-04,11:25,"22500,22800,22900,23000,23200,23250,23300,23400,23500,23600,23650,23700,23800,23900,24000,24100,24150,24200,24250,24300,24350,24400,24450,24500,24600,24700,24750,24800,24900","21400,21500,21700,21800,21900,22000,22100,22200,22250,22300,22400,22450,22500,22550,22600,22650,22700,22800,22850,22900,22950,23000,23050,23100,23150,23200,23250,23300,23350,23400,23450,23500,23550,23600,23650,23700,23800,23900,24000,24300,24500"
2025-01-04,11:30,"22000,22500,22750,22800,23000,23200,23250,23300,23400,23500,23600,23700,23800,23900,24000,24050,24100,24150,24200,24250,24300,24350,24400,24450,24500,24600,24700,24800,24850,24900","21400,21500,21700,21800,21900,22000,22100,22200,22300,22400,22500,22550,22600,22650,22700,22800,22850,22900,22950,23000,23100,23200,23250,23300,23350,23400,23450,23500,23550,23600,23650,23700,23800,23850,24000,24250,24500"
2025-01-04,11:35,"22000,22500,22800,22900,23000,23200,23300,23400,23500,23600,23700,23800,23900,24000,24050,24100,24150,24200,24250,24300,24350,24400,24450,24500,24600,24700,24750,24800,24850","21400,21500,21700,21800,21900,22000,22100,22200,22300,22400,22500,22550,22600,22700,22800,22900,22950,23000,23100,23200,23250,23300,23400,23500,23600,23700,23800,23850,23900,24000,24100,24200,24900"
